"width","satell","weight"
28.3,TRUE,3050
22.5,FALSE,1550
26,TRUE,2300
24.8,FALSE,2100
26,TRUE,2600
23.8,FALSE,2100
26.5,FALSE,2350
24.7,FALSE,1900
23.7,FALSE,1950
25.6,FALSE,2150
24.3,FALSE,2150
25.8,FALSE,2650
28.2,TRUE,3050
21,FALSE,1850
26,TRUE,2300
27.1,TRUE,2950
25.2,TRUE,2000
29,TRUE,3000
24.7,FALSE,2200
27.4,TRUE,2700
23.2,TRUE,1950
25,TRUE,2300
22.5,TRUE,1600
26.7,TRUE,2600
25.8,TRUE,2000
26.2,FALSE,1300
28.7,TRUE,3150
26.8,TRUE,2700
27.5,FALSE,2600
24.9,FALSE,2100
29.3,TRUE,3200
25.8,FALSE,2600
25.7,FALSE,2000
25.7,TRUE,2000
26.7,TRUE,2700
23.7,FALSE,1850
26.8,FALSE,2650
27.5,TRUE,3150
23.4,FALSE,1900
27.9,TRUE,2800
27.5,TRUE,3100
26.1,TRUE,2800
27.7,TRUE,2500
30,TRUE,3300
28.5,TRUE,3250
28.9,TRUE,2800
28.2,TRUE,2600
25,TRUE,2100
28.5,TRUE,3000
30.3,TRUE,3600
24.7,TRUE,2100
27.7,TRUE,2900
27.4,TRUE,2700
22.9,TRUE,1600
25.7,TRUE,2000
28.3,TRUE,3000
27.2,TRUE,2700
26.2,TRUE,2300
27.8,FALSE,2750
25.5,FALSE,2250
27.1,FALSE,2550
24.5,TRUE,2050
27,TRUE,2450
26,TRUE,2150
28,TRUE,2800
30,TRUE,3050
29,TRUE,3200
26.2,FALSE,2400
26.5,FALSE,1300
26.2,TRUE,2400
25.6,TRUE,2800
23,TRUE,1650
23,FALSE,1800
25.4,TRUE,2250
24.2,FALSE,1900
22.9,FALSE,1600
26,TRUE,2200
25.4,TRUE,2250
25.7,FALSE,1200
25.1,TRUE,2100
24.5,FALSE,2250
27.5,FALSE,2900
23.1,FALSE,1650
25.9,TRUE,2550
25.8,FALSE,2300
27,TRUE,2250
28.5,FALSE,3050
25.5,FALSE,2750
23.5,FALSE,1900
24,FALSE,1700
29.7,TRUE,3850
26.8,FALSE,2550
26.7,FALSE,2450
28.7,FALSE,3200
23.1,FALSE,1550
29,TRUE,2800
25.5,FALSE,2250
26.5,TRUE,1967
24.5,TRUE,2200
28.5,TRUE,3000
28.2,TRUE,2867
24.5,TRUE,1600
27.5,TRUE,2550
24.7,TRUE,2550
25.2,TRUE,2000
27.3,TRUE,2900
26.3,TRUE,2400
29,TRUE,3100
25.3,TRUE,1900
26.5,TRUE,2300
27.8,TRUE,3250
27,TRUE,2500
25.7,FALSE,2100
25,TRUE,2100
31.9,TRUE,3325
23.7,FALSE,1800
29.3,TRUE,3225
22,FALSE,1400
25,TRUE,2400
27,TRUE,2500
23.8,TRUE,1800
30.2,TRUE,3275
26.2,FALSE,2225
24.2,TRUE,1650
27.4,TRUE,2900
25.4,FALSE,2300
28.4,TRUE,3200
22.5,TRUE,1475
26.2,TRUE,2025
24.9,TRUE,2300
24.5,TRUE,1950
25.1,FALSE,1800
28,TRUE,2900
25.8,TRUE,2250
27.9,TRUE,3050
24.9,FALSE,2200
28.4,TRUE,3100
27.2,TRUE,2400
25,TRUE,2250
27.5,TRUE,2625
33.5,TRUE,5200
30.5,TRUE,3325
29,TRUE,2925
24.3,FALSE,2000
25.8,FALSE,2400
25,TRUE,2100
31.7,TRUE,3725
29.5,TRUE,3025
24,TRUE,1900
30,TRUE,3000
27.6,TRUE,2850
26.2,FALSE,2300
23.1,FALSE,2000
22.9,FALSE,1600
24.5,FALSE,1900
24.7,TRUE,1950
28.3,FALSE,3200
23.9,TRUE,1850
23.8,FALSE,1800
29.8,TRUE,3500
26.5,TRUE,2350
26,TRUE,2275
28.2,TRUE,3050
25.7,FALSE,2150
26.5,TRUE,2750
25.8,FALSE,2200
24.1,FALSE,1800
26.2,TRUE,2175
26.1,TRUE,2750
29,TRUE,3275
28,FALSE,2625
27,FALSE,2625
24.5,FALSE,2000
